CellNumber,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.0808738421858921,18171.8571267133,4,127.327002148446,21464.9253074881
2,0.111239156366214,16567.7899653255,5,513.573468873766,21476.7002149868
3,0.0669429369038935,28197.7153720004,3,719.287393253505,31198.2469387855
4,-0.00562178180491379,18464.6688596554,6,1456.69650423475,24463.1023016138
5,0.107116916033262,16938.0886964277,5,767.519968530466,22555.0147556367
6,0.0995382870507804,21006.9541587881,4,702.153801583103,25699.4127475051
7,0.144660705941229,18831.677788879,4,1310.16617172031,24146.2426839783
8,-0.383016609620676,28773.0845192517,2,-2737.34530232365,21074.1751605391
9,0.097856279411273,15082.3245925807,2,549.8808369658,16712.5525130999
10,0.0770821854478871,15810.2496313779,2,2095.03622905236,17127.8967027302
11,0.0745774234834187,15172.460239538,2,-127.086578458351,16392.7260633208
12,0.0534285425400007,20530.0402000915,2,2108.77125053732,21687.6800071211
13,0.0652768496715617,16867.9483245517,3,-1632.30482541184,18407.837330694
14,0.113295343133567,17149.6501769634,2,-3550.64344615132,19330.3684291758
15,0.182012862520756,18539.7029597517,2,-766.347728195884,22610.1988902168
16,-0.0429742438547869,24404.0430504167,8,-358.039514439233,18594.8197078442
17,0.0457587248705957,23368.1087554344,2,-1425.4052514426,24487.8606057632
18,-0.0792055229181357,18451.7927067476,6,-854.358142831913,17510.7765782804
19,0.0809248764393994,22558.8554308833,3,193.071099133444,25285.2633576895
20,0.11162247505571,17623.8291511446,4,-139.931941288029,20878.6136814902
21,0.01782628096342,24784.5755268324,2,-129.460342240447,25234.3627237861
22,0.101462986408898,19306.6681517078,3,-61.2544009315995,22469.9565309091
23,0.045054337103128,25405.9296688219,2,-1390.03538840777,26603.7328558844
24,0.0265831907492826,25429.7549843187,2,-813.400094187644,26124.0521069285
25,0.0618831573077306,25067.1139456151,3,-171.276558775382,27319.8462510622
26,-0.0129713565290476,23642.4449983419,7,408.591942124742,20432.2877175738
27,0.0328773098635647,22217.3833861682,5,-936.705577910354,24659.3540536193
28,0.0457405701073705,23223.8917922573,4,-233.413726901577,25985.8713283163
29,0.011194154767252,29930.0866150325,9,96.3398723875402,21269.2527544113
30,0.124198964290262,20255.4779854102,3,1371.32880340132,24067.0755915399
31,0.0580207290967278,13715.920783634,2,1713.13760445756,14559.7408983683
32,0.0648837167582172,13959.3397270388,5,778.873566434876,16899.3133011689
33,0.0867347237869898,13080.034116506,8,-651.825004992079,18700.0341975001
34,0.0421207762253151,16779.265150044,3,-460.939442462007,17988.2642386361
35,0.0578768118480465,17398.3514073686,5,364.363731253901,20809.72573773
36,0.0803595608688528,13541.114153866,4,339.234113665574,15802.3420935906
37,0.0907176426611193,13298.2967560576,6,-229.762851874393,18086.7438105575
38,0.0795704119271981,16441.1211851586,5,-554.288851494627,20191.6264630406
39,-0.0246971549659362,13881.1380640592,7,238.237196385748,17728.1335016115
40,0.0764862156669399,16433.2965770328,4,90.9373223934017,19586.6796431592
41,0.0973924059676821,13591.347239669,7,31.424042625174,18617.4274855138
42,0.00895735684887912,19121.8102673131,7,255.872751895288,19496.7917680304
43,0.0575700866023752,16536.8906068341,3,1446.53578818393,17796.6918476565
44,0.0810602683382683,13624.4273265521,5,750.051002737103,17166.7110479592
45,0.0564801064444461,17676.4370802352,3,1268.00540672032,19018.6358800785
46,-0.0429398789345588,25121.7525827158,6,436.198535335798,17840.2294467134
47,0.0332474786590327,12247.455229794,2,821.350682515869,12668.4956410613
48,0.0400849579884035,15466.6821123469,2,1244.62395664508,16112.1929921093
49,0.0733408248275267,18310.411303391,4,-1070.71587724736,20822.2908411664
50,0.0612070714596005,9743.71139651017,2,-231.990292539529,10378.1345709091
51,-0.193981703829333,18144.0340001823,2,-349.658125724221,15226.8105254397
52,0.0366683250517088,10736.7597379706,2,577.239146286818,11145.2544859288
53,0.0612618495681453,15307.3342368777,5,-244.991909827478,17646.9871843926
54,0.0735811794932597,12203.3112460123,4,-842.10449687545,14230.9506577407
55,0.0785739284399321,14257.7106098218,4,202.877020815831,16964.7742487174
56,0.122174931344784,23132.0841268969,2,827.885073304933,26333.4599421811
57,0.094997647845303,18506.8421489381,2,527.80929207991,20443.064146057
58,0.0989379315485839,11707.8968828052,4,535.719437419306,14567.2198522571
59,0.0712426119190157,22756.3138639893,2,437.105923107723,24498.7197807466
60,0.114822245166498,21596.5230251005,3,-178.057629629562,25471.340975695
61,0.0770119433476637,20546.5468944138,3,-909.891353056514,23292.4253355597
62,0.091678573356889,12638.095024312,2,-1276.0645994858,13909.7613245391
63,0.0539104538325388,21083.1111600276,2,-617.957172271468,22283.2487712316
64,0.0818955146531479,11000.3620635407,3,1016.17917271276,12403.4444671176
65,-0.173664154745247,22881.4365385328,3,-374.158934590678,16104.5686839041
66,0.0605478084850552,13070.2387375645,3,-951.256115341928,14408.7391966852
67,0.0857350001137434,11975.4917629478,3,267.606752200261,13560.632339057
68,0.0605674114258585,13281.1676082463,2,717.851749167792,14136.3226468834
69,0.0662030969572225,13535.2636427397,2,-565.977985960119,14493.3703051673
70,0.0546105199492546,11335.2627768919,2,-390.639016965477,11989.3577277787
71,0.0811993488832154,12240.3449144417,2,80.5095631618387,13319.5097072491
72,-0.0161062898709954,22469.1121269924,2,587.970974594733,22112.9847783442
73,0.0535698893454599,15010.5735293054,2,-427.630615615803,15859.3451324602
74,0.0432816065873975,25359.6478890035,2,501.520023199853,26506.1613038664
75,0.0448505937967472,12738.6909108306,2,576.500172811167,13336.4372922145
76,0.035579575439491,13038.2606211957,2,501.616406326561,13519.0601773903
